"pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","seed","date_first_below_10","date_first_below_5","date_first_above_5","date_first_above_10","converges"
1.9,1.02007453900898,1.00258556345484,0.503649635036496,69,0.92,7,8,NA,NA,NA,NA,TRUE
2,1.02007453900898,1.00258556345484,0.518248175182482,69,0.946666666666667,7,8,NA,NA,NA,NA,TRUE
2.1,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
2.2,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
2.3,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
2.4,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
2.5,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
2.6,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
2.7,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
2.8,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
1,1.02007453900898,1.00258556345484,0.0072992700729927,NA,0.0133333333333333,NA,8,NA,NA,NA,NA,TRUE
2.9,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
3,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,8,NA,NA,NA,NA,TRUE
1.1,1.02007453900898,1.00258556345484,0.0072992700729927,NA,0.0133333333333333,NA,8,NA,NA,NA,NA,TRUE
1.2,1.02007453900898,1.00258556345484,0.0656934306569343,129,0.12,67,8,NA,NA,NA,NA,TRUE
1.3,1.02007453900898,1.00258556345484,0.153284671532847,71,0.28,9,8,NA,NA,NA,NA,TRUE
1.4,1.02007453900898,1.00258556345484,0.211678832116788,71,0.386666666666667,9,8,NA,NA,NA,NA,TRUE
1.5,1.02007453900898,1.00258556345484,0.343065693430657,69,0.626666666666667,7,8,NA,NA,NA,NA,TRUE
1.6,1.02007453900898,1.00258556345484,0.394160583941606,69,0.72,7,8,NA,NA,NA,NA,TRUE
1.7,1.02007453900898,1.00258556345484,0.445255474452555,69,0.813333333333333,7,8,NA,NA,NA,NA,TRUE
1.8,1.02007453900898,1.00258556345484,0.489051094890511,69,0.893333333333333,7,8,NA,NA,NA,NA,TRUE
